表310-36201：本地居民總收入、實質本地居民總收入、按人口平均計算的本地居民總收入及按人口平均計算的實質本地居民總收入,,,,,,,,,
 ,,,,,,,,,
 , ,本地居民總收入 (以當時市價計算),本地居民總收入 (以當時市價計算),實質本地居民總收入 (以2022年環比物量計算),實質本地居民總收入 (以2022年環比物量計算),按人口平均計算的本地居民總收入 (以當時市價計算),按人口平均計算的本地居民總收入 (以當時市價計算),按人口平均計算的實質本地居民總收入 (以2022年環比物量計算),按人口平均計算的實質本地居民總收入 (以2022年環比物量計算)
,,百萬港元,按年變動百分率,百萬港元,按年變動百分率,港元,按年變動百分率,港元,按年變動百分率
年,季,,,,,,,,
2011,2,483113,14.8,607599,9.7,-,-,-,-
2011,3,496661,7.8,618221,2.9,-,-,-,-
2011,4,519302,5.9,643966,2.1,-,-,-,-
2012,1,489537,0.3,593838,-4.1,-,-,-,-
2012,2,495783,2.6,599791,-1.3,-,-,-,-
2012,3,524668,5.6,628088,1.6,-,-,-,-
2012,4,556526,7.2,662711,2.9,-,-,-,-
2013,1,519867,6.2,608504,2.5,-,-,-,-
2013,2,509191,2.7,609075,1.5,-,-,-,-
2013,3,551911,5.2,660164,5.1,-,-,-,-
2013,4,597855,7.4,706553,6.6,-,-,-,-
2014,1,546597,5.1,633316,4.1,-,-,-,-
2014,2,535070,5.1,615205,1.0,-,-,-,-
2014,3,587840,6.5,677547,2.6,-,-,-,-
2014,4,637104,6.6,726836,2.9,-,-,-,-
2015,1,579065,5.9,653687,3.2,-,-,-,-
2015,2,595723,11.3,670339,9.0,-,-,-,-
2015,3,618893,5.3,700258,3.4,-,-,-,-
2015,4,648976,1.9,728235,0.2,-,-,-,-
2016,1,609501,5.3,682219,4.4,-,-,-,-
2016,2,618186,3.8,688759,2.7,-,-,-,-
2016,3,642499,3.8,715433,2.2,-,-,-,-
2016,4,683006,5.2,754446,3.6,-,-,-,-
2017,1,650408,6.7,710321,4.1,-,-,-,-
2017,2,681028,10.2,738805,7.3,-,-,-,-
2017,3,705396,9.8,760994,6.4,-,-,-,-
2017,4,738331,8.1,793027,5.1,-,-,-,-
2018,1,704477,8.3,743158,4.6,-,-,-,-
2018,2,728458,7.0,762704,3.2,-,-,-,-
2018,3,765684,8.5,797112,4.7,-,-,-,-
2018,4,771625,4.5,806469,1.7,-,-,-,-
2019,1,722725,2.6,749366,0.8,-,-,-,-
2019,2,747977,2.7,764163,0.2,-,-,-,-
2019,3,752851,-1.7,763822,-4.2,-,-,-,-
2019,4,765186,-0.8,778535,-3.5,-,-,-,-
2020,1,669294,-7.4,674426,-10.0,-,-,-,-
2020,2,690905,-7.6,701721,-8.2,-,-,-,-
2020,3,734706,-2.4,751460,-1.6,-,-,-,-
2020,4,736971,-3.7,751509,-3.5,-,-,-,-
2021,1,727907,8.8,743814,10.3,-,-,-,-
2021,2,770753,11.6,792501,12.9,-,-,-,-
2021,3,789283,7.4,807829,7.5,-,-,-,-
2021,4,778763,5.7,790252,5.2,-,-,-,-
2022,1,695539,-4.4,698837,-6.0,-,-,-,-
2022,2,756214,-1.9,761556,-3.9,-,-,-,-
2022,3,781548,-1.0,778658,-3.6,-,-,-,-
2022,4,761437,-2.2,755687,-4.4,-,-,-,-
2023,1 r,758135,9.0,742880,6.3,-,-,-,-
2023,2 r,775239,2.5,748064,-1.8,-,-,-,-
2023,3 r,863998,10.5,827618,6.3,-,-,-,-
2023,4 r,838940,10.2,801515,6.1,-,-,-,-
2024,1 r,827663,9.2,787652,6.0,-,-,-,-
2024,2 r,847309,9.3,800295,7.0,-,-,-,-
2024,3 r,904267,4.7,844219,2.0,-,-,-,-
2024,4 P,898559,7.1,842913,5.2,-,-,-,-
 ,,,,,,,,,
註釋：,,,,,,,,,
本表的數字是2025年3月17日公布的最新數據。,,,,,,,,,
在香港，首次公布的某一期間的本地居民總收入數字稱為「初步數字」。當獲得更多數據後，這些數字會作出修訂。繼初步數字後公布的所有數字均稱為「修訂數字」。這些「修訂數字」在納入更多數據後，在日後仍會作出進一步定期修訂。已採納了全部定期資料來源所得的最終數據編製而成的數字，則為最終的數字。,,,,,,,,,
- 不適用,,,,,,,,,
r 修訂數字,,,,,,,,,
P 初步數字,,,,,,,,,
 ,,,,,,,,,
資料來源：,,,,,,,,,
政府統計處國際收支平衡統計組 (二) 二(查詢電話：3903 7054 查詢電郵：gni@censtatd.gov.hk),,,,,,,,,
 ,,,,,,,,,
發布日期：2025年3月17日,,,,,,,,,
